username,date_time,map_num,r_time,points_to,help_rt,rec_path,rec_score
6,2/4/23 4:07,18,3.676,"(4, 2)",8,"[""up"", ""left"", ""left"", ""up"", ""up"", ""up""]",94
7,2/4/23 4:07,8,9.495,"(2, 3)",4,"[""up"", ""up"", ""right"", ""up"", ""up"", ""right""]",94
6,2/4/23 4:07,11,2.713,"(3, 0)",8,"[""up"", ""right"", ""up"", ""right"", ""right"", ""up"", ""left"", ""up""]",-8
7,2/4/23 4:07,11,7.241,"(2, 3)",2,"[""up"", ""right"", ""up"", ""right"", ""right"", ""up"", ""up"", ""left""]",92
6,2/4/23 4:08,28,3.26,"(1, 2)",8,"[""left"", ""left"", ""left"", ""left"", ""up"", ""up"", ""up"", ""right"", ""right"", ""up""]",-10
7,2/4/23 4:08,21,5.011,"(4, 4)",4,"[""up"", ""up"", ""up"", ""left"", ""up"", ""left""]",94
6,2/4/23 4:08,14,6.492,"(3, 2)",7,"[""right"", ""up"", ""right"", ""right"", ""right"", ""up"", ""up"", ""up"", ""left"", ""left""]",90
7,2/4/23 4:08,12,10.728,"(2, 1)",4,"[""right"", ""up"", ""up"", ""right"", ""right"", ""up"", ""up"", ""left""]",92
6,2/4/23 4:08,16,6.847,"(4, 4)",8,"[""left"", ""up"", ""up"", ""up"", ""up"", ""left""]",-6
7,2/4/23 4:09,20,7.504,"(3, 1)",3,"[""up"", ""up"", ""left"", ""up"", ""up"", ""left""]",-6
6,2/4/23 4:09,19,7.445,"(2, 3)",8,"[""up"", ""left"", ""up"", ""up"", ""up"", ""left""]",94
6,2/4/23 4:09,2,3.229,"(0, 4)",8,"[""up"", ""right"", ""right"", ""up"", ""up"", ""up""]",-6
7,2/4/23 4:09,9,9.655,"(4, 2)",3,"[""up"", ""up"", ""up"", ""up"", ""right"", ""right""]",-6
8,2/4/23 4:09,19,17.425,"(2, 3)",9,"[""up"", ""left"", ""up"", ""up"", ""up"", ""left""]",94
6,2/4/23 4:09,17,5.376,"(2, 3)",8,"[""up"", ""up"", ""left"", ""up"", ""up"", ""left""]",94
7,2/4/23 4:09,7,7.358,"(0, 4)",4,"[""up"", ""up"", ""right"", ""up"", ""up"", ""right""]",94
6,2/4/23 4:10,3,3.395,"(2, 3)",8,"[""right"", ""up"", ""up"", ""up"", ""up"", ""right""]",-6
8,2/4/23 4:10,11,6.159,"(3, 0)",9,"[""right"", ""right"", ""up"", ""up"", ""right"", ""up"", ""up"", ""left""]",92
7,2/4/23 4:10,26,6.598,"(2, 1)",4,"[""left"", ""up"", ""up"", ""left"", ""left"", ""up"", ""up"", ""right""]",92
6,2/4/23 4:10,21,2.661,"(4, 4)",8,"[""up"", ""up"", ""left"", ""up"", ""up"", ""left""]",94
7,2/4/23 4:10,6,2.325,"(1, 1)",3,"[""right"", ""right"", ""up"", ""up"", ""up"", ""up""]",94
6,2/4/23 4:10,7,2.761,"(0, 4)",8,"[""up"", ""up"", ""up"", ""right"", ""right"", ""up""]",94
7,2/4/23 4:10,27,2.394,"(1, 3)",5,"[""up"", ""up"", ""left"", ""left"", ""left"", ""left"", ""up"", ""up"", ""right"", ""right""]",90
6,2/4/23 4:10,20,4.543,"(3, 2)",9,"[""up"", ""up"", ""up"", ""left"", ""left"", ""up""]",94
8,2/4/23 4:11,8,47.062,"(2, 3)",5,"[""up"", ""up"", ""right"", ""up"", ""up"", ""right""]",94
7,2/4/23 4:11,14,4.911,"(3, 2)",2,"[""right"", ""up"", ""right"", ""right"", ""right"", ""up"", ""up"", ""left"", ""up"", ""left""]",90
7,2/4/23 4:11,1,6.606,"(2, 0)",5,"[""right"", ""up"", ""right"", ""up"", ""up"", ""up""]",94
8,2/4/23 4:11,7,7.171,"(0, 4)",9,"[""up"", ""up"", ""up"", ""right"", ""up"", ""right""]",94
8,2/4/23 4:11,21,5.536,"(4, 4)",9,"[""up"", ""up"", ""left"", ""left"", ""up"", ""up""]",94
7,2/4/23 4:11,13,3.3,"(3, 3)",5,"[""up"", ""up"", ""right"", ""right"", ""right"", ""right"", ""up"", ""up"", ""left"", ""left""]",90
7,2/4/23 4:12,2,3.974,"(1, 1)",3,"[""right"", ""right"", ""up"", ""up"", ""up"", ""up""]",94
7,2/4/23 4:12,18,7.268,"(4, 2)",3,"[""left"", ""left"", ""up"", ""up"", ""up"", ""up""]",94
8,2/4/23 4:12,17,27.137,"(2, 3)",8,"[""left"", ""up"", ""up"", ""up"", ""up"", ""left""]",-6
7,2/4/23 4:12,22,7.605,"(2, 3)",4,"[""up"", ""up"", ""up"", ""left"", ""up"", ""left""]",94
8,2/4/23 4:13,3,8.253,"(1, 0)",9,"[""up"", ""up"", ""up"", ""up"", ""right"", ""right""]",94
7,2/4/23 4:13,17,5.512,"(3, 0)",5,"[""up"", ""up"", ""left"", ""up"", ""up"", ""left""]",94
7,2/4/23 4:13,15,6.137,"(2, 0)",5,"[""left"", ""up"", ""left"", ""up"", ""up"", ""up""]",94
8,2/4/23 4:13,27,6.844,"(1, 3)",9,"[""left"", ""up"", ""up"", ""left"", ""left"", ""left"", ""up"", ""up"", ""right"", ""right""]",-10
7,2/4/23 4:13,4,3.179,"(0, 2)",3,"[""up"", ""right"", ""right"", ""up"", ""up"", ""up""]",94
8,2/4/23 4:13,5,5.339,"(2, 3)",9,"[""right"", ""up"", ""up"", ""up"", ""up"", ""right""]",94
